version,match_id,change_state,changed_fields,old_action,new_action,old_team,new_team,old_side,new_side,old_line,new_line,old_water,new_water,old_grade,new_grade,old_ev_mean,new_ev_mean,change_reason
V4_SHADOW,2924137,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,斯帕里,,receiving,,0.25,,0.8,,N,,-0.08333333333333331,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2933154,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,,花刺子模乌尔根奇,neutral,giving,,-0.25,,0.81,,N,,-0.08222222222222222,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2935276,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2935277,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2935280,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2935281,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2935287,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2935288,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2940187,WATER_CHANGED,"water,ev_mean,ev_p10,p_ev_positive",,,欧帕尔利奥,欧帕尔利奥,receiving,receiving,0.75,0.75,0.94,0.88,N,N,-0.014000000000000068,-0.040500000000000036,water;ev_mean;ev_p10;p_ev_positive
V4_SHADOW,2940188,WATER_CHANGED,"water,ev_mean,ev_p10,p_ev_positive",,,库亚巴,库亚巴,giving,giving,-0.5,-0.5,1.04,1.05,C,C,0.014171428571428613,0.019142857142857128,water;ev_mean;ev_p10;p_ev_positive
V4_SHADOW,2941113,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2954812,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2955873,STATUS_CHANGED,status,,,,,,,,,,,,,,,status
V4_SHADOW,2962638,DIRECTION_OR_ACTION_CHANGED,"team,side,line,water,grade,ev_mean,ev_p10,p_ev_positive,status",,,阿尔多斯维,,receiving,neutral,0.25,,0.78,,N,,-0.09184027777777776,,team;side;line;water;grade;ev_mean;ev_p10;p_ev_positive;status
V4_SHADOW,2962639,WATER_CHANGED,"water,ev_mean,ev_p10,p_ev_positive",,,巴拉卡斯中央队,巴拉卡斯中央队,receiving,receiving,0.25,0.25,0.8,0.84,N,N,-0.08333333333333331,-0.06631944444444443,water;ev_mean;ev_p10;p_ev_positive
